452,Bluecoats,8/9/2013,"Indianapolis, IN",36.95,27.85,28.55,93.35,0,93.35
453,The Cavaliers,8/9/2013,"Indianapolis, IN",36.15,27.15,27.2,90.5,0,90.5
454,Madison Scouts,8/9/2013,"Indianapolis, IN",35.55,26.9,27.65,90.1,0,90.1
455,Boston Crusaders,8/9/2013,"Indianapolis, IN",35.8,27.45,27.15,90.4,0,90.4
456,Blue Knights,8/9/2013,"Indianapolis, IN",35.15,26.6,26,87.75,0,87.75
457,Spirit of Atlanta,8/9/2013,"Indianapolis, IN",34.3,25.9,26.2,86.4,0,86.4
458,Blue Stars,8/9/2013,"Indianapolis, IN",33.7,25.65,26.1,85.45,0,85.45
459,Crossmen,6/20/2014,"Clovis, CA",24,18.55,19.65,62.2,0,62.2
460,Blue Devils,6/20/2014,"Clovis, CA",28.7,22.15,22.35,73.2,0,73.2
461,Santa Clara Vanguard,6/20/2014,"Clovis, CA",27.5,20.9,21.75,70.15,0,70.15
462,Blue Knights,6/20/2014,"Clovis, CA",25.4,18.85,20.9,65.15,0,65.15
463,Mandarins,6/20/2014,"Clovis, CA",22.2,17.5,18.2,57.9,0,57.9
464,Pacific Crest,6/20/2014,"Clovis, CA",23,17.75,18.7,59.45,0,59.45
465,The Cadets,6/21/2014,"Akron, OH",30.4,22.75,22.9,76.05,0,76.05
466,Blue Devils,6/21/2014,"Stanford, CA",29.7,22.3,22.2,74.2,0,74.2
467,Santa Clara Vanguard,6/21/2014,"Stanford, CA",28.3,21.05,21.55,70.9,0,70.9
468,Crossmen,6/21/2014,"Stanford, CA",25.7,18.85,19.4,63.95,0,63.95
469,Blue Knights,6/21/2014,"Stanford, CA",26.1,19.2,20.65,65.95,0,65.95
470,Mandarins,6/21/2014,"Stanford, CA",23.4,17.9,17.95,59.25,0,59.25
471,Pacific Crest,6/21/2014,"Stanford, CA",24.2,17.75,18.55,60.5,0,60.5
472,Bluecoats,6/21/2014,"Akron, OH",29,21.35,22.45,72.8,0,72.8
473,Carolina Crown,6/21/2014,"Akron, OH",29.9,22.15,22.9,74.95,0,74.95
474,Phantom Regiment,6/21/2014,"Akron, OH",28.2,21.6,22.25,72.05,0,72.05
475,Boston Crusaders,6/21/2014,"Akron, OH",26.1,19.55,20.75,66.4,0,66.4
476,Madison Scouts,6/21/2014,"Akron, OH",26.4,19.7,21.25,67.35,0,67.35
477,The Cavaliers,6/21/2014,"Akron, OH",27.7,21.2,21.9,70.8,0,70.8
478,Santa Clara Vanguard,6/22/2014,Scaramento CA,29.1,21.8,22,72.9,0,72.9
479,Blue Knights,6/22/2014,Scaramento CA,26.2,18.8,21.2,66.2,0,66.2
480,Blue Devils,6/22/2014,Scaramento CA,30.6,22.8,22.65,76.05,0,76.05
481,Pacific Crest,6/22/2014,Scaramento CA,25,17.45,18.85,61.3,0,61.3
482,Mandarins,6/22/2014,Scaramento CA,24.1,16.9,18.5,59.5,0,59.5
483,Crossmen,6/22/2014,Scaramento CA,25.9,18.5,19.75,64.15,0,64.15
484,Blue Knights,6/27/2014,"Oceanside, CA",27.5,20.1,21.55,69.15,0,69.15
485,Crossmen,6/27/2014,"Oceanside, CA",26.5,19.65,20.25,66.4,0,66.4
486,Santa Clara Vanguard,6/27/2014,"Oceanside, CA",29.4,22.25,22.65,74.3,0,74.3
487,Pacific Crest,6/27/2014,"Oceanside, CA",24.4,18.7,19.75,62.85,0,62.85
488,Mandarins,6/27/2014,"Oceanside, CA",25.3,17.9,19,62.2,0,62.2
489,The Academy,6/27/2014,"Oceanside, CA",25.1,19.1,19.15,63.35,0,63.35
490,Santa Clara Vanguard,6/28/2014,"Glendora, CA",31,22.95,22.7,76.65,0,76.65
491,Blue Devils,6/28/2014,"Glendora, CA",32.6,23.75,23.15,79.5,0,79.5
492,Pacific Crest,6/28/2014,"Glendora, CA",24.5,19.3,19.9,63.7,0,63.7
493,Crossmen,6/28/2014,"Glendora, CA",26.9,20.25,20.2,67.35,0,67.35
494,Blue Knights,6/28/2014,"Glendora, CA",28.3,20.6,21.45,70.35,0,70.35
495,Mandarins,6/28/2014,"Glendora, CA",24.9,18.45,19.25,62.6,0,62.6
496,The Academy,6/28/2014,"Glendora, CA",25.3,19.25,19,63.55,0,63.55
497,Madison Scouts,6/28/2014,"Madison, WI",29.4,21.35,21.8,72.55,0,72.55
498,Phantom Regiment,6/28/2014,"Madison, WI",30.2,22.8,21.9,74.9,0,74.9
499,The Cavaliers,6/28/2014,"Madison, WI",30.6,22.85,22.2,75.65,0,75.65
500,Blue Stars,6/28/2014,"Madison, WI",28,20.3,20.9,69.2,0,69.2
501,Colts,6/28/2014,"Madison, WI",24.7,19.8,19.6,64.1,0,64.1
502,Troopers,6/28/2014,"Madison, WI",26.7,20.55,20.7,67.95,0,67.95
503,Blue Devils,6/29/2014,"Riverside, CA",32.8,24.85,24.35,82,0,82
504,Crossmen,6/29/2014,"Riverside, CA",27.2,20.7,20.45,68.35,0,68.35
505,Santa Clara Vanguard,6/29/2014,"Riverside, CA",31.5,23.8,24,79.3,0,79.3
506,Blue Knights,6/29/2014,"Riverside, CA",28.5,20.75,21.8,71.05,0,71.05
507,The Academy,6/29/2014,"Riverside, CA",26.2,18.8,18.75,63.75,0,63.75
508,Pacific Crest,6/29/2014,"Riverside, CA",24.7,18.5,19.7,62.9,0,62.9
509,Mandarins,6/29/2014,"Riverside, CA",25.5,19.35,19.1,63.95,0,63.95
510,The Cadets,7/5/2014,"Lynn, MA",33.8,25.15,24.95,83.9,0,83.9
511,The Cavaliers,7/5/2014,"Michigan City, IN",32.7,24.45,24.5,81.65,0,81.65
512,Phantom Regiment,7/5/2014,"Michigan City, IN",32.2,24,24.25,80.45,0,80.45
513,Troopers,7/5/2014,"Michigan City, IN",28,21.4,21.85,71.25,0,71.25
514,Colts,7/5/2014,"Michigan City, IN",28,21.25,20,69.25,0,69.25
515,Carolina Crown,7/5/2014,"Lynn, MA",33.3,25.05,25.1,83.45,0,83.45
516,Bluecoats,7/5/2014,"Lynn, MA",33.4,25.2,24.6,83.2,0,83.2
517,Boston Crusaders,7/5/2014,"Lynn, MA",29.3,22.4,22.25,73.95,0,73.95
518,Spirit of Atlanta,7/5/2014,"Lynn, MA",29.3,21.7,21.65,72.65,0,72.65
519,Blue Devils,7/5/2014,"Whitewater, WI",33.8,25.8,25.5,85.1,0,85.1
520,Madison Scouts,7/5/2014,"Whitewater, WI",29,22.85,23.75,75.6,0,75.6
521,Blue Stars,7/5/2014,"Whitewater, WI",28.9,22.95,22.7,74.55,0,74.55
522,Jersey Surf,7/5/2014,"Whitewater, WI",25.5,19.6,19.25,64.35,0,64.35
523,The Cadets,7/6/2014,"Chester, PA",34,25.25,25.45,84.7,0,84.7
524,The Cavaliers,7/6/2014,"Lisle, IL",33.1,24.1,24.6,81.8,0,81.8
525,Blue Devils,7/6/2014,"Lisle, IL",34.6,25.25,25.5,85.35,0,85.35
526,Phantom Regiment,7/6/2014,"Lisle, IL",32.4,23.4,24.15,79.95,0,79.95
527,Madison Scouts,7/6/2014,"Lisle, IL",30,21.75,23.55,75.3,0,75.3
528,Blue Stars,7/6/2014,"Lisle, IL",29.9,22.55,22.7,75.15,0,75.15
529,Troopers,7/6/2014,"Lisle, IL",28.4,21.3,22.05,71.75,0,71.75
530,Carolina Crown,7/6/2014,"Chester, PA",33.1,25.35,25.65,84.1,0,84.1
531,Bluecoats,7/6/2014,"Chester, PA",33.6,25.25,25.2,84.05,0,84.05
532,Boston Crusaders,7/6/2014,"Chester, PA",29.6,22.95,22.7,75.25,0,75.25
533,Spirit of Atlanta,7/6/2014,"Chester, PA",28.8,21.8,22.25,72.85,0,72.85
534,Blue Devils,7/8/2014,"Ft. Wayne, IN",34.8,25.5,25.85,86.15,0,86.15
535,Bluecoats,7/8/2014,"Ft. Wayne, IN",33.9,25.6,25.65,85.15,0,85.15
536,Boston Crusaders,7/8/2014,"Ft. Wayne, IN",30.6,23.3,22.75,76.65,0,76.65
537,Spirit of Atlanta,7/8/2014,"Ft. Wayne, IN",29.3,21.5,21.7,72.5,0,72.5
538,Jersey Surf,7/8/2014,"Ft. Wayne, IN",25.9,19,18.75,63.65,0,63.65
539,Colts,7/8/2014,"Dubuque, IA",27.6,21.35,20.8,69.75,0,69.75
540,The Cavaliers,7/8/2014,"Dubuque, IA",32.8,24.25,25.15,82.2,0,82.2
541,Madison Scouts,7/8/2014,"Dubuque, IA",30.1,22.65,24.2,76.95,0,76.95
542,Blue Stars,7/8/2014,"Dubuque, IA",29.2,23.1,23,75.3,0,75.3
543,Troopers,7/8/2014,"Dubuque, IA",29.4,21.75,22.25,73.4,0,73.4
544,The Cadets,7/9/2014,"Metamora, IL",34.9,25.65,25.75,86.3,0,86.3
545,Phantom Regiment,7/9/2014,"Metamora, IL",32.6,24.55,24.7,81.85,0,81.85
546,Blue Devils,7/9/2014,"Metamora, IL",35.4,25.9,26.05,87.35,0,87.35
547,Colts,7/9/2014,"Metamora, IL",29,21.85,21.9,72.75,0,72.75
548,The Cadets,7/10/2014,"Salem, WI",35.2,25.85,26,87.05,0,87.05
549,Phantom Regiment,7/10/2014,"Salem, WI",33.7,24.75,24.8,83.25,0,83.25
550,Spirit of Atlanta,7/10/2014,"Salem, WI",30.1,22.3,22.35,74.75,0,74.75
551,Jersey Surf,7/10/2014,"Salem, WI",27.1,19.1,20.35,66.55,0,66.55
552,Blue Devils,7/11/2014,"Eden Prairie,  MN",35,26.2,26.35,87.55,0,87.55
553,Bluecoats,7/11/2014,"Eden Prairie,  MN",34,25.5,25.85,85.35,0,85.35
554,Boston Crusaders,7/11/2014,"Eden Prairie,  MN",31.2,23.2,23.1,77.5,0,77.5
555,Jersey Surf,7/11/2014,"Eden Prairie,  MN",25.3,19.7,20.35,65.35,0,65.35
556,The Cadets,7/12/2014,"La Crosse, WI",35.3,26.35,26.4,88.05,0,88.05
557,Carolina Crown,7/12/2014,"La Crosse, WI",34.9,26.1,25.9,86.9,0,86.9
558,Bluecoats,7/12/2014,"La Crosse, WI",34.5,25.65,25.7,85.85,0,85.85
559,Phantom Regiment,7/12/2014,"La Crosse, WI",33.5,24.85,24.85,83.2,0,83.2
560,The Cavaliers,7/12/2014,"La Crosse, WI",34,25.3,25.3,84.6,0,84.6
561,Boston Crusaders,7/12/2014,"La Crosse, WI",32,23.7,23.1,78.8,0,78.8
562,Spirit of Atlanta,7/12/2014,"La Crosse, WI",30.3,22.25,21.95,74.5,0,74.5
563,Blue Stars,7/12/2014,"La Crosse, WI",31.5,23.65,23.5,78.65,0,78.65
564,Colts,7/12/2014,"La Crosse, WI",30.3,22.3,21.95,74.55,0,74.55
565,Jersey Surf,7/12/2014,"La Crosse, WI",26.2,19.8,19.15,65.15,0,65.15
566,Blue Knights,7/12/2014,"Denver, CO",32.9,24.2,23.9,81,0,81
567,Santa Clara Vanguard,7/12/2014,"Denver, CO",34.5,25.5,25.25,85.25,0,85.25
568,Madison Scouts,7/12/2014,"Denver, CO",31,23.4,23.9,78.3,0,78.3
569,Troopers,7/12/2014,"Denver, CO",29.9,22.35,22.75,75,0,75
570,Crossmen,7/12/2014,"Denver, CO",30.6,23.35,22.9,76.85,0,76.85
571,Pacific Crest,7/12/2014,"Denver, CO",27.6,20.25,20.95,68.8,0,68.8
572,Mandarins,7/12/2014,"Denver, CO",26.8,20.35,20.75,67.9,0,67.9
573,Seattle Cascades,7/12/2014,"Denver, CO",26,19.3,19.15,64.45,0,64.45
574,The Academy,7/12/2014,"Denver, CO",27.5,20.15,20.7,68.35,0,68.35
